Zone,Transformer_ID,Grid_Limit_Alert,Energy_Requested_kWh,Allotted_kW,GHI,Deferred_CAPEX_INR,Expansion_Requirement
HSR Layout,TX_HSR_002,38,1507.26,250,10.0,209000.0,CRITICAL
HSR Layout,TX_HSR_003,34,1350.64,250,10.0,187000.0,CRITICAL
HSR Layout,TX_HSR_001,34,1370.38,250,10.0,187000.0,CRITICAL
HSR Layout,TX_HSR_008,39,1090.31,250,10.0,214500.0,CRITICAL
HSR Layout,TX_HSR_007,47,2011.87,250,10.0,258500.0,CRITICAL
HSR Layout,TX_HSR_006,35,1558.28,250,10.0,192500.0,CRITICAL
HSR Layout,TX_HSR_005,43,1750.02,250,10.0,236500.0,CRITICAL
HSR Layout,TX_HSR_004,31,1590.59,250,10.0,170500.0,CRITICAL
HSR Layout,TX_HSR_010,33,1383.5,250,10.0,181500.0,CRITICAL
HSR Layout,TX_HSR_009,36,1728.23,250,10.0,198000.0,CRITICAL
Hebbal,TX_HEB_001,19,1857.69,400,10.0,104500.0,CRITICAL
Hebbal,TX_HEB_006,30,2342.01,400,10.0,165000.0,CRITICAL
Hebbal,TX_HEB_005,44,2081.9900000000002,400,10.0,242000.0,CRITICAL
Hebbal,TX_HEB_004,37,2235.62,400,10.0,203500.0,CRITICAL
Hebbal,TX_HEB_003,26,2266.64,400,10.0,143000.0,CRITICAL
Hebbal,TX_HEB_002,27,1991.28,400,10.0,148500.0,CRITICAL
Indiranagar,TX_IND_003,26,2738.03,500,10.0,143000.0,CRITICAL
Indiranagar,TX_IND_005,24,2138.99,500,10.0,132000.0,CRITICAL
Indiranagar,TX_IND_006,24,2059.76,500,10.0,132000.0,CRITICAL
Indiranagar,TX_IND_007,34,2244.01,500,10.0,187000.0,CRITICAL
Koramangala,TX_KOR_002,22,2230.91,400,10.0,121000.0,CRITICAL
Hebbal,TX_HEB_007,29,2068.0,400,10.0,159500.0,CRITICAL
Indiranagar,TX_IND_001,25,2035.44,500,10.0,137500.0,CRITICAL
Indiranagar,TX_IND_002,28,2064.46,500,10.0,154000.0,CRITICAL
Koramangala,TX_KOR_006,20,1775.77,400,10.0,110000.0,CRITICAL
Koramangala,TX_KOR_005,23,1597.6,400,10.0,126500.0,CRITICAL
Koramangala,TX_KOR_008,37,2099.71,400,10.0,203500.0,CRITICAL
Koramangala,TX_KOR_007,24,2132.18,400,10.0,132000.0,CRITICAL
Koramangala,TX_KOR_004,24,2194.0099999999998,400,10.0,132000.0,CRITICAL
Koramangala,TX_KOR_003,28,1798.12,400,10.0,154000.0,CRITICAL
Electronic City,TX_ELE_001,38,3750.4,1000,10.652377358490554,209000.0,CRITICAL
Whitefield,TX_WHI_003,0,4163.14,1000,16.7372,0.0,CRITICAL
Electronic City,TX_ELE_004,25,3679.11,1000,17.0428,137500.0,CRITICAL
Electronic City,TX_ELE_003,44,3337.39,1000,17.05588098159508,242000.0,CRITICAL
Whitefield,TX_WHI_001,0,4117.06,1000,17.658799999999985,0.0,CRITICAL
Whitefield,TX_WHI_002,0,3993.94,1000,20.121199999999988,0.0,CRITICAL
Electronic City,TX_ELE_002,38,3188.6,1000,22.493060240963857,209000.0,CRITICAL
Koramangala,TX_KOR_001,23,1247.66,400,22.77829032258063,126500.0,CRITICAL
Indiranagar,TX_IND_004,22,1334.96,500,31.93493333333332,121000.0,CRITICAL
Whitefield,TX_WHI_004,0,3304.34,1000,33.91319999999999,0.0,CRITICAL
Indiranagar,TX_IND_008,24,1170.88,500,38.16479999999999,132000.0,CRITICAL
Electronic City,TX_ELE_005,38,2351.88,1000,38.888325925925926,209000.0,CRITICAL
Whitefield,TX_WHI_005,0,2980.23,1000,40.395399999999995,0.0,CRITICAL
